,type,fact_check_url,news_url,title,newstitle,content,abstract,publish_date,meta_keywords
0,article,healthline.com,https://www.healthline.com/health-news/coronavirus-live-updates,Coronavirus Outbreak: Live Updates,"""Coronavirus Outbreak: Daily Updates""",experts warn most states that are reopening still are nt doing enough testing as more u.s. states start to loosen stay at home orders experts warn that covid-19 could come back if there s not enough testing. according to the associated press a significant number of states that are reopening are still not meeting key testing benchmarks suggested by harvards global health institute. according to the institute and the world health organization who there should be enough testing done that the. ,the new coronavirus disease outbreak first identified in china has become a pandemic. stay up to date with the latest updates on covid-19. ,,"""coronavirus outbreak, viral outbreak, viral infection, virus, coronavirus"""
1,article,healthline.com,https://www.healthline.com/health-news/screen-time-doesnt-hurt-kids-social-skills,"Screen Time Doesn’t Hurt Kids’ Social Skills, Study Finds","""Screen Time Doesn't Hurt Kids' Social Skills, Study Finds""",a new study finds an increase in screen time does nt hurt kids social skills. getty images a new study found that despite the time spent on smartphones todays young people are as socially skilled as those of the previous generation. researchers compared teacher and parent evaluations of kids who entered kindergarten in 1998 years before facebook with children who did so in 2010. even children within both groups who experienced the heaviest exposure to screens showed similar developme. ,new research found that school age children in 2010 despite the time spent on smartphones and social media are as socially skilled as those at the same age in 1998 .. ,,"""screen time, child development, smartphones, brain development, ADHD"""
2,article,healthline.com,https://www.healthline.com/health-news/heres-exactly-where-were-at-with-vaccines-and-treatments-for-covid-19,Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19,"""Where We're at with Vaccines and Treatments for COVID-19""",scientists around the world are working on a number of vaccines and treatments for covid-19. xinhua zhang yuwei via getty images scientists around the world are working on potential treatments and vaccines for the new coronavirus disease known as covid-19. several companies are working on antiviral drugs some of which are already in use against other illnesses to treat people who already have covid-19. other companies are working on vaccines that could be used as a preventive measure aga. ,scientists around the world are working on a number of vaccines and treatments for covid-19 .. ,,"""covid-19 coronavirus outbreak research progress vaccines antiviral drugs treatments"""
3,article,healthline.com,https://www.healthline.com/health-news/heres-what-happens-to-the-body-after-contracting-the-coronavirus,Here’s What Happens to the Body After Contracting the New Coronavirus,"""Here's What Happens to the Body After Contracting the New Coronavirus""",coronaviruses cause respiratory illnesses so the lungs are usually affected first. early include fever cough and shortness of breath. these appear as soon as 2 days or as long as 14 days after exposure to the virus. but damage can also occur in other parts of the body especially during serious illness. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates pag. ,heres what we know so far about how covid-19 affects the different systems in the body .. ,,"""coronavirus, viral infection, viral outbreak, covid-19, new coronavirus outbreak, outbreak, china, illness, anti-viral medication"""
4,article,healthline.com,https://www.healthline.com/health-news/why-you-should-be-skeptical-of-leaked-results-of-covid-19-drug,Why You Should Be Skeptical of Early Results of COVID-19 Drug,"""Why You Should Be Skeptical of Leaked Results of COVID-19 Drug""",medical experts are studying if remdesivir can help people with covid-19. a leaked report on preliminary clinical trial results suggests that an experimental drug may work against covid-19. but experts caution against reading too much into this. the leaked report is anecdotal meaning it ca nt be used to show whether the drug is safe or effective. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavi. ,with no approved treatment specific for covid-19 and no vaccine against the virus that causes it a new report has raised hopes that a treatment called remdesivir is just over the horizon. but experts caution against reading too much into this. ,,"""covid-19, covornavirus, novel coronavirus, viral infection"""
5,article,healthline.com,https://www.healthline.com/health-news/what-your-social-media-posts-reveal-about-how-youre-dealing-with-covid-19,What Your Social Media Posts Say About Your Stress Level Right Now,"""What Your Social Media Posts Say About Your Stress Level Right Now""",your social media posts may say more about your stress and anxiety levels than you think. getty images the mental health of teenagers is most impacted by the pandemic. increases in addiction and substance use related content on social media may indicate that the public is self medicating. tweets show more negative indicators and trends of mental health in states that are more harshly impacted by covid-19. all data and statistics are based on publicly available data at the time of publicati. ,here 's how our social media posts reveal how we 're psychologically and emotionally handling situations like the covid-19 pandemic without us realizing it .. ,,"""COVID 19, coronavirus, depression, anxiety, social media, facebook, social media and depression"""
6,article,healthline.com,https://www.healthline.com/health-news/rural-america-hardest-hit-by-covid-19-outbreak,Rural America Could Be the Region Hardest Hit by the COVID-19 Outbreak,"""Rural America Could Be Hardest Hit by COVID-19""",experts say rural areas have older populations that are less healthy and have fewer medical facilities than urban and suburban regions. jeremy hogan echoes wire barcroft media via getty images the covid-19 pandemic has already swept through cities and urban centers. now the illness appears to be building like an infectious prairie fire in rural america as well as in larger towns in the midwest. that was nt the case just a month ago. many rural communities are nt seeing anything. they re sim. ,experts say rural areas have older populations that are less healthy and have fewer medical facilities than urban and suburban regions .. ,,"""COVID19 coronavirus outbreak rural areas Midwest South impact health issues, rural areas lack of hospitals medical services COVID19 coronavirus"""
7,article,healthline.com,https://www.healthline.com/health-news/dont-use-unproven-medications-to-treat-covid-19,Experts Warning: Don’t Use Off-Label Medications for COVID-19 Treatment,"""Experts Warn: Don't Use Off-Label Medications for COVID-19 Treatment""",an early study indicated an antimalarial drug might be effective in treating covid-19 but experts say more research is needed and people should nt use off label medications on their own. kay nietfeld picture alliance via getty images all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most recent information on the covid-19 outbreak. when a study was publ. ,a tweet by president trump heightened interest in an antimalarial drug as a possible treatment for covid-19 but experts say more research is needed and people should not take this drug on their own .. ,,"""drug medication treatments for coronavirus covid19 potentially dangerous, Trump tweet study anti-malaria drug treatment coronavirus covid19 potentially dangerous"""
8,article,healthline.com,https://www.healthline.com/health-news/effects-of-sunlight-coronavirus,Why Soaking Up the Sun to Treat COVID-19 Isn’t a Bright Idea,"""Why Soaking Up the Sun to Treat COVID-19 Isn’t a Bright Idea""",experts say that while some studies have shown ultraviolet radiation can kill microorganisms it is not sanctioned as a covid-19 therapy and such exposure can be dangerous for your health. getty images while some research has been done on ultraviolet radiation as a way to kill microorganisms it is not sanctioned as a covid-19 therapy. the research that s been done has shown this exposure can be dangerous for peoples health. new research shows that medical misinformation spread by public. ,experts say that while some studies have shown ultraviolet radiation can kill microorganisms it is not sanctioned as a covid-19 therapy and such exposure can be dangerous for your health .. ,,"""COVID 19, sunlight, coronavirus, UV rays"""
9,article,healthline.com,https://www.healthline.com/health-news/what-to-do-after-recovering-from-covid-19,What to Know About a Long Recovery Period After Surviving COVID-19,"""What to Know About a Long Recovery Period After Surviving COVID-19""","for people who were hospitalized with covid-19 a full recovery may take weeks to months. getty images there have been more than 116,000 recovered cases of covid-19 in the united states which is nearly double the number of deaths according to the johns hopkins coronavirus resource center. even for people who have officially recovered feeling 100 percent back to normal may be a long process. pulmonary rehabilitation is part of the recovery process since covid-19 is an illness that often. ",even for people who have officially recovered feeling 100 percent back to normal may be a long process .. ,,"""covid-19, coronavirus, viral infection, viral outbreak"""
